"api","description","category","updated"
"easylink webservices","business messaging and transaction services","enterprise","2011-07-07"
"echosign","document management and e-signature service","enterprise","2006-11-29"
"econz eservice","job management and wireless dispatch service","enterprise","2011-10-18"
"edocr","online document collaboration storage and publishing","enterprise","2010-03-10"
"elink","crm software","enterprise","2011-02-08"
"eloqua","automated marketing service","enterprise","2012-01-09"
"employease","on-demand human resource management","enterprise","2007-04-01"
"enstratus","cloud infrastructure management service","enterprise","2010-12-07"
"entellium","crm services","enterprise","2008-04-13"
"entreprise-facile","create entreprise-facile automations and mashups","enterprise","2010-03-10"
"epages","online business management service","enterprise","2012-01-05"
"fetchflow","online invoicing and payment service","enterprise","2012-01-11"
"fishbowl","inventory management service","enterprise","2011-11-21"
"five9","call center management service","enterprise","2010-05-13"
"freeagent","accounting application services","enterprise","2008-07-13"
"freerisk","risk modeling service","enterprise","2010-01-28"
"freshdesk","on demand customer support software","enterprise","2011-11-19"
"geckoboard","real-time business dashboard","enterprise","2011-02-08"
"gooddata","business information service","enterprise","2010-09-21"
"google provisioning","user provisioning for google apps","enterprise","2007-02-23"
"helpspot","web-based helpdesk service","enterprise","2011-03-18"
"highrise","online contact manager and crm","enterprise","2007-11-18"
"hoovers","corporate data services","enterprise","2008-11-08"
"hubspot leads","internet marketing service","enterprise","2011-03-18"
"hyperoffice","online collaboration software","enterprise","2011-11-23"
"iconcmo","church management service","enterprise","2012-01-26"
"icustomer pulse","customer satisfaction survey","enterprise","2011-03-18"
"ihelpdesk","customer service platform and help desk","enterprise","2012-01-06"
"infusionsoft","online marketing automation service","enterprise","2010-03-10"
"inkdit","electronic signature service","enterprise","2012-01-06"
"insidesales","sales and marketing tools","enterprise","2011-09-06"
"intuit data service","cloud data service for intuit apps like quickbooks","enterprise","2009-10-26"
"janrain capture","user data collection and storage service","enterprise","2011-12-13"
"jigsaw","business information and contacts directory","enterprise","2009-02-24"
"kassenterprises apl navigator","apl programming and reporting service","enterprise","2011-02-15"
"kayako","help desk software","enterprise","2011-05-16"
"klipfolio","kpi dashboard","enterprise","2011-03-07"
"knowledgetree","document management software","enterprise","2011-11-29"
"kpi dashboard","business information service","enterprise","2010-10-01"
"kronovia compliance cloud service","social crm compliance service","enterprise","2011-05-17"
"launchpad","bug and issue tracking","enterprise","2008-10-31"
"lead reporter","lead management software","enterprise","2011-04-05"
"lead zeppelin","sales lead management tool","enterprise","2011-04-01"
"lead411","company data provider","enterprise","2010-11-09"
"leadmaster","sales lead tracking service","enterprise","2012-01-09"
"licensecube","billing systems licensing service","enterprise","2012-02-02"
"liveaddress verification","address verification service","enterprise","2010-02-18"
"livework","on demand virtual workforce of freelancers","enterprise","2009-09-16"
"lokad","sales and demand forecasting (time series)","enterprise","2007-05-22"
"longjump","platform as a service (paas)","enterprise","2008-02-10"
"loopfuse","sales and marketing service","enterprise","2010-08-24"
"majestic seo enterprise","seo intelligence service","enterprise","2011-05-25"
"manageengine servicedesk plus","network monitoring software","enterprise","2011-06-24"
"mangoapps","real-time collaboration platform","enterprise","2010-07-29"
"memberclicks","membership management software","enterprise","2011-01-18"
"metricly custom data import","data aggregation for dashboards","enterprise","2011-07-26"
"metricly plug-in","data aggregation for dashboards","enterprise","2011-07-28"
"mindjet","collaboration and mind-mapping application","enterprise","2011-12-13"
"mineful","customer service and engagement service","enterprise","2011-11-29"
"moneybird","online billing service","enterprise","2009-03-19"
"monitis open","monitoring extension service","enterprise","2011-08-08"
"mygengo human translation","language translation service","enterprise","2010-04-29"
"netdocuments","enterprise document management service","enterprise","2007-04-23"
"netsuite","on-demand business application suite","enterprise","2007-04-01"
"nimble","online relationship management service","enterprise","2011-03-08"
"officedrop","digital filing system","enterprise","2011-03-08"
"offiserv","office management service tool","enterprise","2011-04-14"
"ofuz","customer management and invoicing service","enterprise","2010-12-15"
"onepagecrm","sales management and customer management platform","enterprise","2011-11-01"
"onforce","work order handling service","enterprise","2007-12-30"
"paglo","it monitoring and management service","enterprise","2009-06-18"
"palbee mashup","conferencing and collaboration services","enterprise","2008-03-27"
"paperhost","electronic document management","enterprise","2009-01-04"
"paymo","time tracking service","enterprise","2009-04-27"
"persony","conferencing and collaboration services","enterprise","2008-02-07"
"pipejump","sales and crm service","enterprise","2011-01-25"
"pipelinedeals","online crm service","enterprise","2010-03-05"
"planmill","cloud based business management system","enterprise","2012-01-27"
"plaxo","address book management","enterprise","2006-02-03"
"presseportal","press material database for german businesses","enterprise","2010-11-08"
"qipit","mobile image scanning services","enterprise","2009-01-21"
"qualitycentral","product feedback and discussion service","enterprise","2012-01-09"
"quickbase","workgroup applications management","enterprise","2008-01-03"
"rapidpoints","rewards program services for small businesses","enterprise","2008-12-29"
"really simple systems crm","customer relationship management service","enterprise","2010-12-20"
"reportgrid","reporting and analytics service","enterprise","2011-04-08"
"reppify","online background check service","enterprise","2011-05-20"
"responsys interact","cross-channel marketing management service","enterprise","2012-01-06"
"rightsignature","online document signing","enterprise","2009-08-16"
"rpm software","process management software","enterprise","2011-06-14"
"salesforce.com","crm services","enterprise","2005-11-09"
"salesforce.com apex","crm services","enterprise","2011-09-01"
"salesforce.com chatter","salesforce social platform","enterprise","2011-09-01"
"salesforce.com streaming","crm realtime streaming data","enterprise","2011-09-01"
