"species","last recorded","status","&nbsp;&nbsp;       2004 -2010","2011","notes"
"tsuga heterophylla (western hemlock-spruce)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"tulipa gesneriana (garden tulip)","not in atlas","alien","&nbsp;yes","&nbsp;","shibdon 2010"
"tussilago farfara (colt's-foot)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"typha angustifolia (lesser bulrush)","1987-1999","native","yes","&nbsp;","&nbsp;"
"typha latifolia (bulrush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"ulex europaeus (gorse)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"ulex gallii (western gorse)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"ulex minor (dwarf gorse)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"ulmus glabra (wych elm)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"ulmus procera (english elm)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"urtica dioica (common nettle)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"urtica urens (small nettle)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"utricularia vulgaris sens. str. (greater bladderwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;glebe pond ryton : stargate"
"vaccaria hispanica (cowherb)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"vaccinium myrtillus (bilberry)","1987-1999","native","yes","a","&nbsp;"
"vaccinium oxycoccos (cranberry)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"valeriana dioica (marsh valerian)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"valeriana officinalis (common valerian)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"valerianella locusta (common cornsalad)","1987-1999","native","yes","&nbsp;","&nbsp;"
"verbascum densiflorum (dense-flowered mullein)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"verbascum lychnitis(white mullein)","&nbsp;recorded since 1999","alien","yes","&nbsp;","birtley railway sidings"
"verbascum nigrum (dark mullein)","pre-1970","alien","NULL","&nbsp;","&nbsp;"
"verbascum thapsus (great mullein)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"verbena officinalis (vervain)","recorded since 1999","alien","yes","&nbsp;","&nbsp;"
"veronica agrestis (green field-speedwell)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"veronica anagallis-aquatica (blue water-speedwell)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"veronica arvensis (wall speedwell)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"veronica beccabunga (brooklime)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"veronica catenata (pink water-speedwell)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"veronica chamaedrys (germander speedwell)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"veronica filiformis (slender speedwell)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"veronica hederifolia subsp. hederifolia (ivy-leaved       speedwell)","1970-1986","alien","&nbsp;yes","a","&nbsp;"
"veronica hederifolia subsp. lucorum (pale ivy-leaved       speedwell)","1970-1986","alien","&nbsp;yes","&nbsp;","&nbsp;"
"veronica montana (wood speedwell)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"veronica officinalis (heath speedwell)","1987-1999","native","yes","a","&nbsp;"
"veronica persica (common field-speedwell)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"veronica polita (grey field-speedwell)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"veronica scutellata (marsh speedwell)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"veronica serpyllifolia (thyme-leaved speedwell)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"viburnum lantana (wayfaring-tree)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"viburnum opulus (guelder-rose)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"viburnum tinus (laurustinus)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"vicia benghalensis (purple vetch)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"vicia cracca (tufted vetch)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"vicia hirsuta (hairy tare)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"vicia lathyroides (spring vetch)","pre-1970","native","extinct","extinct","&nbsp;"
"vicia lutea (yellow-vetch)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"vicia sativa subsp. nigra (narrow-leaved vetch)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"vicia sativa subsp. sativa","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"vicia sativa subsp. segetalis (common vetch)","1987-1999","alien","&nbsp;&nbsp;yes","&nbsp;","&nbsp;"
"vicia sepium (bush vetch)","1987-1999","native","&nbsp;&nbsp;    yes","a","&nbsp;"
"vicia sylvatica (wood vetch)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"vicia tenuifolia (fine-leaved vetch)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"vicia tetrasperma (smooth tare)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"vinca major (greater periwinkle)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"vinca minor (lesser periwinkle)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"viola arvensis (field pansy)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"viola hirta (hairy violet)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"viola lutea (mountain pansy)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"viola odorata (sweet violet)","pre-1970","native","2005 only","&nbsp;","&nbsp;escape - derwent cp (2005)"
"viola palustris (marsh violet)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"viola reichenbachiana (early dog-violet)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"viola riviniana (common dog-violet)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"viola tricolor (wild pansy)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"viola x wittrockiana (garden pansy)","1970-1986","alien","&nbsp;yes","&nbsp;","&nbsp;"
"viscum album (mistletoe)","1970-1986","native","&nbsp;","&nbsp;","rowlands gill"
"vulpia bromoides (squirreltail fescue)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"vulpia myuros (rat's-tail fescue)","1987-1999","alien","2006 only","&nbsp;","&nbsp;"
"xanthium strumarium (rough cocklebur)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"zannichellia palustris (horned pondweed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"zostera noltei (dwarf eelgrass)","pre-1970","native","extinct","extinct","&nbsp;"
"NULL","NULL","NULL","NULL","&nbsp;","NULL"
