"table name","table type","rating","# of ratings","historic era","author(s)","download"
"sherman & friends","original","","","2002","pinman","NULL"
"ship ahoy","electro-mechanical","9.0","1","1976 gottlieb","jay phillips","NULL"
"ship-mates","electro-mechanical","5.0","2","1964 gottlieb","xtremediver","NULL"
"shivaengine2","original","","","2004","shiva","NULL"
"shivaengine","original","5.3","3","2002","shiva","NULL"
"shock","solid state","","","1980 taito do brazil","dox & maloti","NULL"
"shootin' range","original","","","2002","ken","NULL"
"shooting gallery","non pinball game","5.0","2","2001","gerson agena","NULL"
"shooting star","original","","","2001","tpillow","NULL"
"shooting the rapids","solid state","","","1979 zaccaria (italy)","gerhard & crew","NULL"
"shooting the rapids","vpinmame","","","1979 zaccaria (italy)","gerhard/destruk","aj"
"show boat","electro-mechanical","7.0","1","1961 gottlieb","robair","NULL"
"shrek","original","7.0","3","2002","rayzzor","NULL"
"shrooms","original","","","2002","tii","NULL"
"sifo's game","original","","","2002","sifo","NULL"
"silver slugger","vpinmame","","","1990 gottlieb / premier","john doe destruk","aj"
"silver streak","flipperless","","","1935 bally manufacturing corporation","will degelmann / aka druadic","pinball nirvana"
"silverball asteroid","original","","","2003","tii","NULL"
"silverball mania","solid state","","","1980 bally manufacturing corporation","freddy outlane","NULL"
"silverball mania","vpinmame","7.0","4","1980 bally manufacturing corporation","pebo & apocalypse","aj"
"simpsons 2","original","","","2001","pinman","NULL"
"simpsons pinball party","vpinmame","9.0","2","2001 stern pinball inc.","destruk unclereamus skalar gaston tab gottlieb scapino","aj"
"simpsons the","original","","","2002","andy h.","NULL"
"simpsons the","vpinmame","7.6","8","1990 data east usa inc.","mungo j","aj"
"simpsons","original","8.0","7","2001","charly 9","NULL"
"sinbad (em)","electro-mechanical","7.0","1","1978 gottlieb","satch & joe entropy","NULL"
"sinbad (solid state)","solid state","6.5","2","1978 gottlieb","satch & joe entropy","NULL"
"sinbad","historic","","","1978 gottlieb","satch & joe entropy","irpinball"
"sing along","electro-mechanical","","","1968 gottlieb","robair","NULL"
"sir lion show the","original","","","2003","wrenchien","NULL"
"sirens of titan","original","6.0","1","2003","anthias","NULL"
"sisterhood of the dragon","original","","","2002","j.eagle","NULL"
"sittin' pretty","electro-mechanical","","","1958 gottlieb","robair","NULL"
"six million dollar man the","solid state","7.0","1","1978 bally manufacturing corporation","NULL","NULL"
"six million dollar man the","vpinmame","7.0","2","1978 bally manufacturing corporation","robair/destruk","aj"
"sizzling 7s","non pinball game","","","? 1gt","patrick (liberty)","NULL"
"skate or die","original","","","2001","mikepin74","NULL"
"skateball","solid state","","","1980 bally manufacturing corporation","pebo","NULL"
"skateball","vpinmame","7.3","3","1980 bally manufacturing corporation","pebo and apocalypse","aj"
"skateboard park","original","5.0","1","2001","tpillow","NULL"
"skee-ball","original","7.0","1","2002","douglas roberts","NULL"
"skill pool","electro-mechanical","","","1963 williams electronic manufacturing co.","bendigo","NULL"
"skull the","original","","","2002","sphere","NULL"
"sky dogs 2","original","","","2003","wrenchien","NULL"
"sky dogs 3","original","","","2002","wrenchien","NULL"
"sky dogs 4","original","","","2003","wrenchien","NULL"
"sky dogs","original","","","2002","wrenchien","NULL"
"sky jump","electro-mechanical","7.5","2","1974 gottlieb","dave sanders","NULL"
"sky kings","electro-mechanical","5.5","2","1973 bally manufacturing corporation","druadic","NULL"
"sky line","electro-mechanical","","","1965 gottlieb","jay phillips","NULL"
"skylab","electro-mechanical","","","1974 williams electronics inc.","patrick","NULL"
"skyroads","original","","","2003","andrew mortimer","NULL"
"skyrocket","electro-mechanical","6.5","2","1970 bally manufacturing corporation","pebo","NULL"
"skyway","electro-mechanical","","","1954 williams  manufacturing company","jay phillips & duglis","NULL"
"slayer pinball","original","","","2002","fok","NULL"
"slick chick","electro-mechanical","4.0","3","1963 gottlieb","cutter & duglis","NULL"
"slugfest","vpinmame","9.0","1","1991 williams_electronic games inc.","kid charlemagne","aj"
"smarty","electro-mechanical","6.3","3","1968 williams electronics inc.","emkaah","NULL"
"smashup","original","","","2003","checky","NULL"
"smokin alien","original","6.0","1","2002","tii","NULL"
"smouldering cheetah temptress","original","","","2003","ian williams","NULL"
"snake machine","vpinmame","7.0","1","1982 taito do brasil","destruk/tab","aj"
"snakes & ladders","original","","","2003","rockinghorse","NULL"
"snow derby","electro-mechanical","8.0","1","1970 gottlieb","thirdshift","NULL"
"snowball blaster","original","","","2002","pebble","NULL"
"snowspinner","original","","","2002","wrenchien","NULL"
"snuffer","original","","","2002","tii","NULL"
"snuteflipper","original","","","2003","kj","NULL"
"soccer ball","vpinmame","","","1991 alvin g. & co.","destruk / tab","aj"
"soccer girl","original","","","2004","wrenchien","NULL"
"soccer kings","solid state","","","1982 zaccaria (italy)","dave sanders","NULL"
"soccer kings","vpinmame","","","1982 zaccaria (italy)","eala destruk luvthatapex","aj"
"soccer mom","original","","","2003","wrenchien","NULL"
"soccer","electro-mechanical","7.3","3","1964 williams electronic manufacturing co.","leon spalding","NULL"
"solar city","electro-mechanical","6.0","2","1977 gottlieb","luvthatapex","NULL"
"solar fire","vpinmame","7.3","3","1981 williams electronics inc.","destruk & kristian","aj"
"solar ride","solid state","7.3","3","1979 gottlieb","robair","NULL"
"solids n' stripes","electro-mechanical","","","1971 williams electronics inc.","ash","NULL"
"sonic pinball","original","","","2001","joe fox?","NULL"
"sonic the hedgehog","original","","","2002","zach hunter & chuck","NULL"
"sonic's enigma","original","","","2003","scott bermel","NULL"
"sorcerer","vpinmame","8.0","2","1985 williams electronics inc.","rock & joxer","aj"
"souls in space","original","","","2002","tii","NULL"
"soup stock pinball","original","","","2001","?","NULL"
"south park pinball","computer game remake","","","? skyworks","brian j warzocha","NULL"
"south park poker","original","","","2002","aussie34","NULL"
"south park","vpinmame","7.7","7","1999 sega pinball inc.","aurian","aj"
"southern belle","electro-mechanical","4.0","1","1955 gottlieb","duglis (irpinball)","NULL"
"space 1999","original","","","2002","bendarr","NULL"
"space ace 2003","original","","","2003","dizzidi","NULL"
"space face","original","","","2003","tii","NULL"
"space gambler","solid state","6.0","2","1978 playmatic (spain)","dave sanders","NULL"
"space ghost","original","","","2002","?","NULL"
"space harrier","original","","","2003","subzero1970","NULL"
"space invaders","solid state","","","1979 bally manufacturing corporation","gerhard","NULL"
"space invaders","vpinmame","8.0","4","1979 bally manufacturing corporation","gerhard","aj"
"space is deep","original","","","2001","sphere","NULL"
"space jam","vpinmame","","","1997 sega pinball inc.","joep","aj"
"space mission (williams 1976)","electro-mechanical","","","1976 williams electronics inc.","eala dubh","NULL"
"space odyssey","electro-mechanical","","","1976 williams electronics inc.","marc bouchard","NULL"
"space patrol","original","","","2003","-","NULL"
"space riders","solid state","","","1978 atari inc.","eala dubh","NULL"
"space riders","vpinmame","5.0","1","1978 atari inc.","eala dubh sidhe & destruk","aj"
"space ship","electro-mechanical","7.5","2","1961 williams electronic manufacturing co.","leon spalding (leo wanker)","NULL"
"space shuttle (taito)","vpinmame","","","1984 megatronics (taito)","it-290 / tbone / destruk","aj"
"space shuttle (williams)","solid state","","","1984 williams electronics inc.","it-290 & tbone","NULL"
"space shuttle (williams)","vpinmame","","","1984 williams electronics inc.","NULL","aj"
"space shuttle (zaccaria)","vpinmame","","","1980 zaccaria (italy)","luvthatapex and destruk","aj"
"space station vespa","original","","","2002","andrew mortimer","NULL"
"space station","vpinmame","5.3","3","1987 williams_electronic games inc.","destruk/tab","aj"
"space time","electro-mechanical","","","1972 bally manufacturing corporation","loserman","NULL"
"spacepool","original","","","2002","tii","NULL"
"spanish box","original","","","2002","douglas","NULL"
"spanish eyes (deluxe)","electro-mechanical","10.0","1","1972 williams electronics inc.","eala dubh","NULL"
"spanish eyes","electro-mechanical","9.0","1","1972 williams electronics inc.","eala dubh","NULL"
"sparkman","original","","","2004","tii","NULL"
"spatula city","original","","","2004","tii","NULL"
"speakeasy","vpinmame","6.7","3","1982 bally manufacturing corporation","germax","aj"
"special force","vpinmame","3.0","1","1986 bally midway mfg. co.","destruk","aj"
"spectrum","solid state","","","1981 bally manufacturing corporation","steveir","NULL"
"spectrum","vpinmame","6.0","3","1981 bally manufacturing corporation","gaston","aj"
"speed racer","original","7.0","2","2001","dox","NULL"
"speed test","vpinmame","","","198? taito do brasil","destruk/tab","aj"
"speedway","non pinball game","7.0","1","1933 gottlieb","w. degelmann / druadic","NULL"
"sphere's dream","original","","","2002","bj","NULL"
"sphinx","original","","","2001","eala dubh","NULL"
"spin a card","electro-mechanical","5.0","1","1969 gottlieb","robair","NULL"
"spin wheel","electro-mechanical","","","1968 gottlieb","nicholas.b","NULL"
"spirit of '76","electro-mechanical","8.7","3","1975 gottlieb","anonymous","NULL"
"spirit wolf","original","","","2001","?","NULL"
"spirit","vpinmame","7.6","5","1982 gottlieb","NULL","aj"
"spitfire","electro-mechanical","","","1954 williams  manufacturing company","marc bouchard","NULL"
"splatterhouse","original","7.5","2","2002","megalast","NULL"
"split second","vpinmame","4.0","1","1981 stern electronics inc.","destruk & tab","aj"
"spongebob squarepants","original","7.0","1","2001","imperical","NULL"
"spooky","vpinmame","5.0","1","1987 zaccaria (italy)","luvthatapex","aj"
"sporting champs","original","6.0","1","2001","rhys wynne","NULL"
"spot shot","electro-mechanical","5.0","1","194? wolverine","w degelmann / aka druadic","NULL"
"spriggan the pinball","original","","","2003","anthias","NULL"
"spring break","solid state","","","1987 gottlieb / premier","jay phillips","NULL"
"spring break","vpinmame","9.0","1","1987 gottlieb / premier","jay phillips destruk","aj"
"springfield","original","","","2002","pinman","NULL"
"spy hunter","vpinmame","6.8","4","1984 bally midway mfg. co.","destruk","aj"
"square head","electro-mechanical","6.0","2","1963 gottlieb","douglas silfen","NULL"
"stage coach","electro-mechanical","","","1968 chicago coin machine mfg. co.","redswal","NULL"
"stall turn","computer game remake","7.0","2","1993 21st century entertainment","destruk","NULL"
"star defender","solid state","","","1977 durham industries","pinball freak","NULL"
"star gazer","vpinmame","5.0","1","1980 stern electronics inc.","o_morton","aj"
"star jet","electro-mechanical","6.0","2","1963 bally manufacturing corporation","leon spalding","NULL"
"star light","vpinmame","8.0","1","1984 williams electronics inc.","gaston","aj"
"star pool","electro-mechanical","","","1974 williams electronics inc.","eala dubh","NULL"
"star race","solid state","","","1980 gottlieb","john shepherd","NULL"
"star race","vpinmame","6.7","3","1980 gottlieb","john shepherd","aj"
"star raiders","original","7.0","1","2002","mikepin74","NULL"
"star trek 25th anniversary","vpinmame","6.8","4","1991 data east usa inc.","joep & icewarm","aj"
"star trek the next generation (buzzard)","vpinmame","","","1993 williams_electronic games inc.","buzzard","aj"
"star trek the next generation (dr doom)","vpinmame","","","1993 williams_electronic games inc.","dr doom","aj"
"star trek the next generation","vpinmame","8.5","12","1993 williams_electronic games inc.","destruk & bluetex","aj"
"star trek voyager","original","","","2002","rayzzor","NULL"
"star trek","solid state","","","1978 bally manufacturing corporation","dorival reggio demasi","NULL"
"star trek","vpinmame","6.7","3","1978 bally manufacturing corporation","gaston","aj"
"star trip","vpinmame","3.0","2","1979 game plan inc.","destruk & skalar","aj"
"star wars data east","vpinmame","","","1992 data east usa inc.","dr-doom","aj"
"star wars trilogy","vpinmame","8.8","8","1997 sega pinball inc.","magnox","aj"
"starbumper","original","","","2004","tii","NULL"
"stargate sg-1","original","","","2002","bob rayner","NULL"
"stargate","vpinmame","7.5","4","1995 gottlieb / premier","destruk tab joep skalar bluetex","aj"
"stargod","solid state","","","1980 zaccaria (italy)","luvthatapex","NULL"
"stargod","vpinmame","","","1980 zaccaria (italy)","luvthatapex","aj"
"stars and stripes","original","","","2002","terry briggs","NULL"
"stars bingo (novelty)","electro-mechanical","","","1952 united manufacturing company","druadic","NULL"
"stars bingo","electro-mechanical","10.0","1","1952 united manufacturing company","druadic","NULL"
"starship troopers","vpinmame","7.5","4","1997 sega pinball inc.","joep","aj"
"stars","vpinmame","5.3","3","1978 stern electronics inc.","luvthatapex","aj"
"steel wheel","computer game remake","7.0","1","2003","wrenchien/subzero1970","NULL"
"stellar wars","vpinmame","5.8","4","1979 williams electronics inc.","andre needham","aj"
"stern website pinball","historic","","","2002 stern pinball inc.","destruk","irpinball"
"stingray","historic","5.0","2","1977 stern electronics inc.","jim lang","irpinball"
"stingray","solid state","","","1977 stern electronics inc.","jim lang","NULL"
"stingray","vpinmame","8.0","1","1977 stern electronics inc.","jim lang","aj"
"stir crazy","original","","","2004","anthias","NULL"
"stones and bones","computer game remake","","","1994 21st century","?","NULL"
"straight flush","electro-mechanical","","","1970 williams electronics inc.","leon spalding (leo wanker)","NULL"
"straight shooter","electro-mechanical","6.0","1","1959 gottlieb","robair -- irpinball","NULL"
"strange days","original","","","2001","sphere","NULL"
"strange science","vpinmame","8.0","2","1986 bally midway mfg. co.","destruk & tab","aj"
"strato-flite","electro-mechanical","8.0","1","1974 williams electronics inc.","leon spalding (leo wanker)","NULL"
"street fighter 2","vpinmame","8.0","1","1993 gottlieb","joep destruk zaphod kingzap gerhard s wtiger","aj"
"street fighter ii","vpinmame","5.0","2","1993 gottlieb / premier","vpmx","aj"
"strife","original","6.0","1","2003","rockinghorse","NULL"
"strike master","shuffle bowl","","","1991 williams_electronic games inc.","destruk and apocalypse","NULL"
"strike power","original","7.0","2","2001","leon spalding","NULL"
"strike zone","shuffle bowl","","","1984 williams electronics inc.","destruk tab","NULL"
"striker xtreme","vpinmame","10.0","1","2000 stern pinball inc.","joep tab destruk","aj"
"striker","vpinmame","7.5","2","1982 gottlieb","luvthatapex & destruk","aj"
"strikes and spares","solid state","","","1977 bally manufacturing corporation","dan z","NULL"
"strikes and spares","vpinmame","","","1977 bally manufacturing corporation","gaston","aj"
"strikes n' spares","vpinmame","6.0","1","1995 gottlieb / premier","destruk/tab","aj"
"strike","vpinmame","","","1978 zaccaria (italy)","luvthatapex gaston destruk","aj"
"struggle buggies","electro-mechanical","8.0","1","1953 williams  manufacturing company","duglis","NULL"
"student prince","electro-mechanical","7.0","1","1968 williams electronics inc.","leon spalding","NULL"
"substation","original","4.0","1","2002","wrenchien","NULL"
"suburbs","original","9.0","1","2002","sphere","NULL"
"subway","electro-mechanical","7.0","1","1966 gottlieb","robair","NULL"
"sultan","solid state","","","1978 taito do brazil","dox & maloti","NULL"
"summer day sail away","original","","","2003","wrenchien","NULL"
"sun ball","original","","","2003","wrenchien","NULL"
"sun valley","electro-mechanical","6.0","1","1962 chicago coin machine mfg. co.","redswal","NULL"
"sunset","electro-mechanical","5.5","2","1962 gottlieb","luvthatapex","NULL"
"super android","computer game remake","","","2001 epic megagames","datadragon and krono","NULL"
"super android","computer game remake","7.3","4","2001 epic megagames","datadragon and krono","NULL"
"super grand slam","original","","","2003","douglas r.","NULL"
"super mario bros.","vpinmame","7.0","2","1992 gottlieb / premier","NULL","aj"
"super mario bros","vpinmame","5.0","4","1992 gottlieb / premier","joep","aj"
"super mario brothers mushroom world","vpinmame","4.0","3","1992 gottlieb / premier","destruk & zaphod","aj"
"super mario pinball","original","5.5","2","2001","rhyswynne","NULL"
"super metroid","original","","","2003","christoria2","NULL"
"super nova","vpinmame","","","1982 game plan inc.","destruk & warez dood","aj"
"super orbit","vpinmame","7.0","1","1983 gottlieb","destruk & tab","aj"
"super pin!","original","6.0","1","2002","douglas r.","NULL"
"super pocket pc pinball","original","","","2003","xtremediver","NULL"
"super q*bert","original","8.0","2","2002","pinman","NULL"
"super score","electro-mechanical","7.0","3","1967 gottlieb","bendigo","NULL"
"super soccer (gottlieb 1975)","electro-mechanical","","","1975 gottlieb","leon spalding (leo wanker)","NULL"
"super spin","electro-mechanical","6.5","2","1977 gottlieb","jay phillips","NULL"
"super star","electro-mechanical","7.0","1","1972 williams electronics inc.","joseph winwood","NULL"
"superball","original","","","2002","josuah","NULL"
"supercar","original","","","2004","tii","NULL"
"superman the movie","original","","","2003","subzero1970","NULL"
"superman","solid state","","","1979 atari inc.","eala dubh","NULL"
"superman","vpinmame","7.8","4","1979 atari inc.","eala dubh & neurokinetik","aj"
"supernova","original","","","2004","tii","NULL"
"supersonic (zaccaria)","electro-mechanical","","","1977 zaccaria (italy)","eala dubh","NULL"
"supersonic","solid state","","","1979 bally manufacturing corporation","kurt herman aka scapino","NULL"
"supersonic","vpinmame","6.0","5","1979 bally manufacturing corporation","kurt herman aka scapino","aj"
"superstar","original","3.0","1","2002","pangier","NULL"
"superstation","original","5.0","1","2002","wrenchien","NULL"
"sure shot (taito)","vpinmame","","","1981 taito do brasil","johnnyhk joe entropy guittar and destruk","aj"
"sure shot 1932","flipperless","6.0","1","1932 carlson manufacturing co.","w. degelmann / druadic","pinball nirvana"
"sure shot","electro-mechanical","7.5","4","1976 gottlieb","leon spalding","NULL"
"surf 'n safari","vpinmame","9.3","3","1991 gottlieb / premier","zaphod/tab/destruk/lander","aj"
"surfer","electro-mechanical","7.3","3","1976 gottlieb","jay phillips","NULL"
"surfs up","original","","","2001","gobi","NULL"
"surgery with zoidberg","original","","","2003","anthias","NULL"
"svamball","original","","","2003","-","NULL"
"swampfever","original","4.0","1","2002","wrenchien","NULL"
"sweet hearts","electro-mechanical","7.0","2","1963 gottlieb","leon spalding","NULL"
"swinger","electro-mechanical","9.0","4","1972 williams electronics inc.","kurt herman aka scapino","NULL"
"swords of fury","vpinmame","8.4","7","1988 williams_electronic games inc.","lio","aj"
"symphonique pinball","original","","","2002","brant gurganus","NULL"
"syncobob","original","6.5","2","2004","bob5453","NULL"
"table skeleton","tutorial","","","2003","chris la mantia","NULL"
"table1","original","","","2002","eric helser","NULL"
"table","original","","","2002","?","NULL"
"taf tv","original","5.0","1","2004","bob5453","NULL"
"tag-team pinball","vpinmame","","","1985 gottlieb / premier","destruk","aj"
"tales from the crypt","vpinmame","7.5","10","1993 data east usa inc.","lander","aj"
"tales from topographic oceans - edition 2","original","","","2002","sphere","NULL"
"tales from topographic oceans","original","","","2001","sphere","NULL"
"tales of the arabian nights","vpinmame","8.3","11","1996 williams_electronic games inc.","ian boffin","aj"
"tall ship","original","","","2003","dizzidi","NULL"
"target alpha","electro-mechanical","","","1976 gottlieb","luvthatapex","NULL"
"target pool","electro-mechanical","","","1968 gottlieb","leon spalding (leo wanker)","NULL"
"target","flipperless","6.5","2","1935 beverator","druadic","pinball nirvana"
"tarzon","original","","","2001","pinman & 4eyes","NULL"
"tasty samba","electro-mechanical","","","1977 inder of spain","gerhard & crew","NULL"
"taurus","vpinmame","","","1979 williams electronics inc.","destruk tab","aj"
"taxi","vpinmame","8.5","6","1988 williams_electronic games inc.","jpsalas","aj"
"teacher's pet","electro-mechanical","8.0","1","1965 williams electronic manufacturing co.","robair","NULL"
"teachers pet","original","","","2002","neon weekend","NULL"
"tee'd off","vpinmame","7.5","2","1993 gottlieb / premier","joep & el_condor","aj"
"teenage mutant ninja turtles","vpinmame","8.7","3","1991 data east usa inc.","cyborg & wilda","aj"
"tekken tag tornament","original","","","2002","crip & chris","NULL"
"telemetry","original","","","2003","wrenchien","NULL"
"ten ball","original","6.5","2","2002","gridiron","NULL"
"ten spot","electro-mechanical","","","1961 williams electronic manufacturing co.","ash","NULL"
"ten up","electro-mechanical","7.3","3","1973 gottlieb","brettski / luvthatapex","NULL"
"tengus 2","original","","","2003","wrenchien","NULL"
"tengus","original","","","2002","wrenchien","NULL"
"terminator 2 judgement day","vpinmame","7.9","11","1991 williams_electronic games inc.","steve e. and aj","aj"
"texan","electro-mechanical","","","1960 alben/gottlieb","redswal","NULL"
"the 100 yards","electro-mechanical","","","1952 e.m. marchant","patrick & tiltjlp","NULL"
"the alchemist","original","","","2004","spike","NULL"
"the buffalo still roam","original","","","2004","wrenchien","NULL"
"the games","vpinmame","7.0","1","1984 gottlieb / mylstar electronics","destruk","aj"
"the getaway-high speed ii","solid state","","","1992 williams_electronic games inc.","anonymous","NULL"
"the getaway-high speed ii","vpinmame","6.0","1","1992 williams_electronic games inc.","anonymous (corx mod)","aj"
"the matrix","original","","","2002","john prescott","NULL"
"the shadow","vpinmame","","","1994 midway mfg. co. a subsidiary of wms industries inc.","biffman","aj"
"the who's tommy pinball wizard","vpinmame","","","1994 data east usa inc.","el condor mr white destruk","aj"
"theater pinball","original","","","2002","terry briggs","NULL"
"theatre of magic","vpinmame","8.6","17","1995 midway mfg. co. a subsidiary of wms industries inc.","ian boffin","aj"
"thief!","original","7.0","1","2002","pebble","NULL"
"thing","electro-mechanical","","","1951 chicago coin machine mfg. co.","redswal","NULL"
"thrable","original","","","2003","paul e l","NULL"
"thrareas","original","","","2003","paul e l","NULL"
"three butterflies","original","","","2002","wrenchien","NULL"
"three stooges mod","original","","","2003","wayne phillips/bj","NULL"
"three stooges","original","","","2001","wayne phillips","NULL"
"thunderball","vpinmame","3.0","1","1982 williams electronics inc.","gaston tab destruk","aj"
"tiberon 3","original","","","2003","wrenchien","NULL"
"tiberon halladay","original","","","2003","wrenchien","NULL"
"tiberon","original","","","2003","wrenchien","NULL"
"ticket tac toe","vpinmame","4.0","2","1996 williams_electronic games inc.","desangel & kidc","aj"
"tiger electronic pinball","computer game remake","","","1987 tiger electronics inc.","jeff block","NULL"
"tii vs wrenchien","original","1.0","1","2003","wrenchien","NULL"
"tillie pinball","original","","","2003","nick mancini","NULL"
"time 2000","solid state","","","1977 atari inc.","eala dubh","NULL"
"time 2000","vpinmame","","","1977 atari inc.","eala dubh sidhe & destruk","aj"
"time fantasy","vpinmame","6.6","5","1983 williams electronics inc.","apocalypse","aj"
"time line","vpinmame","5.7","3","1980 gottlieb","","aj"
"time machine (zaccaria) (1983)","vpinmame","","","1983 zaccaria (italy)","destruk & luvthatapex","aj"
"time machine","vpinmame","5.8","4","1988 data east usa inc.","","aj"
"time war","original","4.0","1","2001","mikepin74","NULL"
"time warp","vpinmame","5.0","3","1979 williams electronics inc.","aj/boris","aj"
"time zone","electro-mechanical","7.0","1","1972 bally manufacturing corporation","luvthatapex","NULL"
"timon & pumbaa","original","","","2004","ripleyyy","NULL"
"titan","solid state","","","1983 taito do brasil","dox & maloti","NULL"
"titan","vpinmame","7.0","1","1983 taito do brasil","dox & maloti destruk & kabuki_jo","aj"
"title fight","vpinmame","8.0","2","1990 gottlieb / premier","joep","aj"
"toledo","electro-mechanical","8.0","1","1975 williams electronics inc.","leon spalding","NULL"
"tomb raider 4","original","","","2001","sphere","NULL"
"top card","electro-mechanical","6.0","1","1974 gottlieb","robair","NULL"
"top dawg","shuffle bowl","7.0","1","1988 williams_electronic games inc.","destruk tab john041160","NULL"
"top score","electro-mechanical","3.0","1","1975 gottlieb","andre","NULL"
"top speed","original","5.3","10","2001","randy davis","NULL"
"topaz","vpinmame","","","1978 williams electronics inc.","destruk tab","aj"
"topo","original","","","2002","tii","NULL"
"torch","solid state","6.3","3","1980 gottlieb","dave sanders","NULL"
"torpedo alley","vpinmame","7.0","1","1988 data east usa inc.","destruk & tab","aj"
"torpedo","electro-mechanical","6.8","4","1976 recel-petaco","juaney","NULL"
"torture chamber of insanity","original","","","2001","gerhard","NULL"
"torus","original","","","2003","j.eagle","NULL"
"totally tubular","original","","","2003","wrenchien","NULL"
"totem","solid state","5.7","3","1979 gottlieb","joe entropy","NULL"
"touchdown","vpinmame","7.0","1","1984 gottlieb / mylstar electronics","goggles pizano & destruk","aj"
"tower builder","original","","","2003","martin mortimer","NULL"
"tower of druaga the","original","","","2001","kaoru maeda","NULL"
"tower of gold","original","","","2001","thomas glueck","NULL"
"toy factory 3d","computer game remake","","","2004","arumco (steampump)","NULL"
"toy fireball","original","","","2003","tii","NULL"
"transformers","original","","","2001","berimon","NULL"
"transporter the rescue","vpinmame","","","1989 midway mfg. co. a subsidiary of wms industries inc.","lio","aj"
"trap doors","original","","","2003","wrenchien","NULL"
"travel time","electro-mechanical","4.0","1","1973 williams electronics inc.","robair","NULL"
"t-rex","original","","","2001","steve (pinman)","NULL"
"tri zone","vpinmame","6.0","2","1979 williams electronics inc.","rayder & neurokinetik","aj"
"trick or treat","computer game remake","4.0","1","1995 codemasters","danz and erwin","NULL"
"trident","vpinmame","6.7","3","1979 stern electronics inc.","destruk","aj"
"trio","electro-mechanical","","","1965 bally manufacturing corporation","luvthatapex","NULL"
"triple action (ale)","electro-mechanical","","","1971 williams electronics inc.","ale (alexandru cobzas)","NULL"
"triple action","electro-mechanical","8.0","1","1971 williams electronics inc.","leon spalding","NULL"
"triple crown 2002","original","6.0","1","2002","patrick mcconville","NULL"
"triple double","original","","","2003","wrenchien","NULL"
"triple plays","original","","","2002","wrenchien","NULL"
"triple strike","shuffle bowl","","","1983 williams electronics inc.","destruk tab","NULL"
"tron 1","original","","","2001","gerhard & crew","NULL"
"tron 2","original","","","2004","germax","NULL"
"tropic isle & moonshot","electro-mechanical","6.5","2","1962 & 1963 gottlieb & bally manufacturing corporation","jay phillips","NULL"
"tropicana","flipperless","","","1948 united mfg. co.","alexandra & patrick","pinball nirvana"
"troubadour","electro-mechanical","","","1967 gottlieb","marc bouchard","NULL"
"truck stop","vpinmame","7.3","3","1988 midway mfg. co. a subsidiary of wms industries inc.","tab destruk","aj"
"true blue","original","","","2003","wrenchien","NULL"
"tsunami","original","","","2002","wrenchien","NULL"
"tucson","electro-mechanical","9.0","1","1949 williams  manufacturing company","bendigo","NULL"
"tweetybird","original","5.0","1","2002","ingrid jansen","NULL"
"twilight zone","vpinmame","9.4","27","1993 midway mfg. co. a subsidiary of wms industries inc","pacdude/others","aj"
"twin win","electro-mechanical","7.0","2","1971 bally manufacturing corporation","christopher harris (playfield by jason liebig)","NULL"
"twister","vpinmame","","","1996 sega pinball inc.","destruk/tab","aj"
"tx-sector","vpinmame","9.0","1","1988 gottlieb / premier","destruk","aj"
"ufo 2 : bermuda","original","","","2003","tii","NULL"
"ufo 3","original","","","2003","tii","NULL"
"ufo 4 : invasion","original","3.0","1","2004","tii","NULL"
"ufo","original","","","2003","tii","NULL"
"uhf mania","original","","","2003","wrenchien","NULL"
"ultimate alphabet","original","","","2002","bob5453","NULL"
"ultimate daffy","original","6.0","1","2002","bob5453","NULL"
"ultimate spidey","original","6.5","2","2002","bob5453 orvo","NULL"
"ultimate superman","original","","","2003","bob / wrenchien","NULL"
"ultimate typing tutor","original","","","2003","bob5453","NULL"
"ultracane","original","","","2003","wrenchien","NULL"
"under sea queen","original","","","2003","wrenchien","NULL"
"underworld anno 2014","original","","","2003","frank augustin","NULL"
"universe","electro-mechanical","8.0","1","1959 gottlieb","leon spalding","NULL"
"untitled by javajack","original","","","2002","javajack","NULL"
"up  yours","original","","","2003","tii","NULL"
"up close and personal","original","","","2003","jeff block","NULL"
"uranium 235","original","8.0","1","2002","bj","NULL"
"urban chaos","computer game remake","7.5","2","1995 epic megagames","erwin","NULL"
"usa","original","","","2002","tii","NULL"
"ut - capture the flag","original","5.0","1","2002","gottlieb","NULL"
"vabaob","original","","","2004","wrenchien","NULL"
"vagabond","electro-mechanical","9.0","1","1962 williams electronic manufacturing co.","bendigo","NULL"
"vampire (amiga)","computer game remake","5.5","2","? ?","hugh janus","NULL"
"vampire","electro-mechanical","6.0","1","1971 bally manufacturing corporation","luvthatapex","NULL"
"van halen pinball","original","","","2002","baluchitherium","NULL"
"varkon","vpinmame","","","1982 williams electronics inc.","destruk","aj"
"vector","vpinmame","6.3","3","1981 bally manufacturing corporation","germax","aj"
"vegas (taito)","vpinmame","","","1981 taito do brazil","jeff/gaston/destruk/dox/silvio finotti","aj"
"vegas gottlieb","vpinmame","","","1990 gottlieb / premier","joep","aj"
"vegas","vpinmame","6.0","2","1979 game plan inc.","destruk lander joep apocalypse","aj"
"velocity","original","","","2003","wrenchien","NULL"
"verspiel dein wasser nicht!","solid state","4.5","2","1978 german regional water co.","gerhard & crew","NULL"
"vhk traveller (rpg pinball)","original","","","2001","-","NULL"
"vhk village","original","","","2001","?","NULL"
