"collegesort","citysort","representativesort","statesort","district","zip codesort"
"southern california institute of technology","anaheim","loretta sanchez","ca","47","92801"
"santa ana college","santa ana","loretta sanchez","ca","47","92706"
"university of california irvine","irvine","christopher cox","ca","48","92697"
"irvine valley college","irvine","christopher cox","ca","48","92618"
"platt college","newport beach","christopher cox","ca","48","92660"
"concordia university","irvine","christopher cox","ca","48","92612"
"interior designers institute","newport beach","christopher cox","ca","48","92660"
"san diego golf academy","vista","darrell e. issa","ca","49","92081"
"professional golfers career college","temecula","darrell e. issa","ca","49","92590"
"miracosta college","oceanside","darrell e. issa","ca","49","92056"
"maric college","vista","darrell e. issa","ca","49","92083"
"design institute of san diego","san diego","randy ``duke'' cunningham","ca","50","92121"
"westminster theological seminary in california","escondido","randy ``duke'' cunningham","ca","50","92027"
"california state university san marcos","san marcos","randy ``duke'' cunningham","ca","50","92096"
"alliant international university","san diego","randy ``duke'' cunningham","ca","50","92121"
"palomar college","san marcos","randy ``duke'' cunningham","ca","50","92069"
"california college san diego","san diego","bob filner","ca","51","92108"
"southwestern college","chula vista","bob filner","ca","51","91910"
"imperial valley college","imperial","bob filner","ca","51","92251"
"maric college","san diego","duncan hunter","ca","52","92123"
"grossmont college","el cajon","duncan hunter","ca","52","92020"
"cuyamaca college","el cajon","duncan hunter","ca","52","92019"
"san diego miramar college","san diego","duncan hunter","ca","52","92126"
"pacific college of oriental medicine","san diego","duncan hunter","ca","52","92108"
"southern california bible college and seminary","el cajon","duncan hunter","ca","52","92019"
"coleman college","la mesa","duncan hunter","ca","52","91942"
"itt technical institute","san diego","duncan hunter","ca","52","92123"
"art institute of california - san diego","san diego","duncan hunter","ca","52","92108"
"christian heritage college","el cajon","duncan hunter","ca","52","92019"
"thomas jefferson school of law","san diego","susan a. davis","ca","53","92110"
"foundation college san diego","san diego","susan a. davis","ca","53","92108"
"california western school of law","san diego","susan a. davis","ca","53","92101"
"national university","la jolla","susan a. davis","ca","53","92037"
"san diego mesa college","san diego","susan a. davis","ca","53","92111"
"fashion careers of california college","san diego","susan a. davis","ca","53","92110"
"point loma nazarene university","san diego","susan a. davis","ca","53","92106"
"san diego city college","san diego","susan a. davis","ca","53","92101"
"san diego state university","san diego","susan a. davis","ca","53","92182"
"university of san diego","san diego","susan a. davis","ca","53","92110"
"remington college - san diego campus","san diego","susan a. davis","ca","53","92108"
"newschool of architecture and design","san diego","susan a. davis","ca","53","92101"
"university of california san diego (ucsd)","la jolla","susan a. davis","ca","53","92093"
"platt college - san diego","san diego","susan a. davis","ca","53","92115"
"denver career college","thornton","diana degette","co","1","80229"
"regis university","denver","diana degette","co","1","80221"
"university of denver","denver","diana degette","co","1","80208"
"metropolitan state college of denver","denver","diana degette","co","1","80204"
"denver  seminary","englewood","diana degette","co","1","80110"
"university of colorado health sciences center","denver","diana degette","co","1","80262"
"denver automotive & diesel college","denver","diana degette","co","1","80223"
"rocky mountain college of art & design","lakewood","diana degette","co","1","80214"
"university of colorado at denver","denver","diana degette","co","1","80204"
"community college of denver","denver","diana degette","co","1","80204"
"teikyo loretto heights university","denver","diana degette","co","1","80236"
"college america denver","denver","diana degette","co","1","80222"
"iliff school of theology","denver","diana degette","co","1","80210"
"yeshiva toras chaim talmudical seminary","denver","diana degette","co","1","80204"
"art institute of colorado (the)","denver","diana degette","co","1","80203"
"boulder college of massage therapy","boulder","mark udall","co","2","80301"
"westwood college - denver north","denver","mark udall","co","2","80221"
"westwood college of aviation technology","broomfield","mark udall","co","2","80020"
"university of colorado at boulder","boulder","mark udall","co","2","80309"
"itt technical institute","thornton","mark udall","co","2","80229"
"front range community college","westminster","mark udall","co","2","80031"
"naropa university","boulder","mark udall","co","2","80302"
"parks college","thornton","mark udall","co","2","80229"
"denver academy of court reporting","westminster","mark udall","co","2","80030"
"trinidad state junior college","trinidad","john t. salazar","co","3","81082"
"colorado state university-pueblo","pueblo","john t. salazar","co","3","81001"
"intellitec college","grand junction","john t. salazar","co","3","81506"
"western state college of colorado","gunnison","john t. salazar","co","3","81231"
"otero junior college","la junta","john t. salazar","co","3","81050"
"colorado northwestern community college","rangely","john t. salazar","co","3","81648"
"mesa state college","grand junction","john t. salazar","co","3","81501"
"adams state college","alamosa","john t. salazar","co","3","81102"
"pueblo community college","pueblo","john t. salazar","co","3","81004"
"colorado mountain college","glenwood springs","john t. salazar","co","3","81601"
"fort lewis college","durango","john t. salazar","co","3","81301"
"lamar community college","lamar","marilyn n. musgrave","co","4","81052"
"university of northern colorado","greeley","marilyn n. musgrave","co","4","80639"
"colorado state university","fort collins","marilyn n. musgrave","co","4","80523"
"northeastern junior college","sterling","marilyn n. musgrave","co","4","80751"
"aims community college","greeley","marilyn n. musgrave","co","4","80634"
"morgan community college","fort morgan","marilyn n. musgrave","co","4","80701"
"institute of business & medical careers","fort collins","marilyn n. musgrave","co","4","80525"
"university of colorado at colorado springs","colorado springs","joel hefley","co","5","80918"
"intellitec college","colorado springs","joel hefley","co","5","80909"
"pikes peak community college","colorado springs","joel hefley","co","5","80906"
"blair college","colorado springs","joel hefley","co","5","80916"
"intellitec medical institute","colorado springs","joel hefley","co","5","80909"
"colorado school of professional psychology","colorado springs","joel hefley","co","5","80903"
"nazarene bible college","colorado springs","joel hefley","co","5","80910"
"colorado technical university","colorado springs","joel hefley","co","5","80907"
"colorado college","colorado springs","joel hefley","co","5","80903"
"arapahoe community college","littleton","thomas g. tancredo","co","6","80160"
"red rocks community college","lakewood","bob beauprez","co","7","80228"
"remington college - denver campus","lakewood","bob beauprez","co","7","80215"
"platt college","aurora","bob beauprez","co","7","80014"
"colorado school of mines","golden","bob beauprez","co","7","80401"
"colorado christian university","lakewood","bob beauprez","co","7","80226"
"colorado school of trades","lakewood","bob beauprez","co","7","80215"
"community college of aurora","aurora","bob beauprez","co","7","80011"
"bel - rea institute of animal technology","denver","bob beauprez","co","7","80247"
"colorado school of healing arts","lakewood","bob beauprez","co","7","80226"
"heritage college","denver","bob beauprez","co","7","80212"
"holy apostles college & seminary","cromwell","john b. larson","ct","1","6416"
"saint joseph college","hartford","john b. larson","ct","1","6117"
"capital community college","hartford","john b. larson","ct","1","6103"
"rensselaer hartford graduate center (the)","hartford","john b. larson","ct","1","6120"
"goodwin college","east hartford","john b. larson","ct","1","6108"
"northwestern connecticut community college","winsted","john b. larson","ct","1","6098"
"briarwood college","southington","john b. larson","ct","1","6489"
"university of hartford","west hartford","john b. larson","ct","1","6117"
"trinity college","hartford","john b. larson","ct","1","6106"
"manchester community college","manchester","john b. larson","ct","1","6045"
"lyme academy college of fine arts","old lyme","rob simmons","ct","2","6371"
